"Date","Price","Open","High","Low","Vol.","Change %"
"09/22/2019","5,640.58","5,679.31","5,683.93","5,531.62","370.01M","-0.88%"
"09/15/2019","5,690.78","5,626.61","5,696.25","5,587.74","494.80M","0.62%"
"09/08/2019","5,655.46","5,606.36","5,672.07","5,555.51","468.27M","0.92%"
"09/01/2019","5,603.99","5,483.43","5,610.70","5,441.18","316.26M","2.25%"
"08/25/2019","5,480.48","5,310.16","5,504.01","5,300.99","329.39M","2.88%"
"08/18/2019","5,326.87","5,333.13","5,441.35","5,325.72","335.26M","0.49%"
"08/11/2019","5,300.79","5,362.39","5,402.99","5,170.77","444.48M","-0.51%"
"08/04/2019","5,327.92","5,296.08","5,387.96","5,226.39","446.96M","-0.58%"
"07/28/2019","5,359.00","5,598.65","5,624.34","5,350.76","456.96M","-4.48%"
"07/21/2019","5,610.05","5,550.30","5,672.77","5,545.61","394.82M","1.04%"
"07/14/2019","5,552.34","5,581.11","5,626.79","5,533.47","321.99M","-0.37%"
"07/07/2019","5,572.86","5,580.26","5,606.18","5,544.62","305.15M","-0.37%"
"06/30/2019","5,593.72","5,584.13","5,629.79","5,556.76","321.22M","0.99%"
"06/23/2019","5,538.97","5,534.35","5,547.11","5,465.62","366.26M","0.19%"
"06/16/2019","5,528.33","5,370.76","5,582.24","5,368.07","555.31M","2.99%"
"06/09/2019","5,367.62","5,382.29","5,431.54","5,342.15","343.45M","0.07%"
"06/02/2019","5,364.05","5,171.61","5,389.95","5,152.30","463.64M","3.00%"
"05/26/2019","5,207.63","5,341.39","5,364.22","5,160.91","435.19M","-2.05%"
"05/19/2019","5,316.51","5,425.30","5,438.60","5,272.78","432.12M","-2.24%"
"05/12/2019","5,438.23","5,332.30","5,450.65","5,247.66","478.31M","2.08%"
"05/05/2019","5,327.44","5,450.83","5,490.33","5,307.06","439.28M","-3.99%"
"04/28/2019","5,548.84","5,567.09","5,593.60","5,535.58","329.27M","-0.37%"
"04/21/2019","5,569.36","5,577.52","5,597.60","5,538.30","332.54M","-0.20%"
"04/14/2019","5,580.38","5,501.51","5,601.38","5,497.53","346.16M","1.41%"
"04/07/2019","5,502.70","5,471.74","5,510.99","5,436.42","366.16M","0.48%"
"03/31/2019","5,476.20","5,394.50","5,486.00","5,376.18","391.19M","2.35%"
"03/24/2019","5,350.53","5,211.76","5,356.07","5,211.76","400.71M","1.53%"
"03/17/2019","5,269.92","5,403.54","5,443.10","5,264.13","420.27M","-2.50%"
"03/10/2019","5,405.32","5,253.49","5,421.51","5,230.16","533.97M","3.33%"
"03/03/2019","5,231.22","5,291.13","5,314.97","5,221.03","367.47M","-0.65%"
"02/24/2019","5,265.19","5,228.25","5,286.69","5,197.29","446.27M","0.95%"
"02/17/2019","5,215.85","5,149.06","5,226.80","5,137.17","384.95M","1.22%"
"02/10/2019","5,153.19","4,988.09","5,164.58","4,986.30","450.18M","3.86%"
"02/03/2019","4,961.64","5,014.31","5,083.89","4,946.14","468.69M","-1.15%"
"01/27/2019","5,019.26","4,903.95","5,023.37","4,878.62","394.38M","1.90%"
"01/20/2019","4,925.82","4,865.79","4,931.80","4,820.14","373.06M","1.02%"
"01/13/2019","4,875.93","4,740.31","4,881.57","4,730.55","435.90M","1.98%"
"01/06/2019","4,781.34","4,757.01","4,843.48","4,690.22","432.34M","0.93%"
"12/30/2018","4,737.12","4,708.74","4,750.51","4,606.20","283.44M","1.25%"
"12/23/2018","4,678.74","4,650.42","4,700.49","4,555.99","187.25M","-0.33%"
"12/16/2018","4,694.38","4,840.12","4,847.50","4,628.24","615.75M","-3.28%"
"12/09/2018","4,853.70","4,797.92","4,935.48","4,732.02","510.38M","0.84%"
"12/02/2018","4,813.13","5,112.58","5,115.13","4,760.98","516.15M","-3.81%"
"11/25/2018","5,003.92","4,982.54","5,036.81","4,958.71","467.96M","1.15%"
"11/18/2018","4,946.95","5,040.68","5,062.75","4,894.30","389.56M","-1.56%"
"11/11/2018","5,025.20","5,130.38","5,140.45","4,986.19","457.36M","-1.60%"
"11/04/2018","5,106.75","5,101.87","5,168.11","5,066.39","408.49M","0.09%"
"10/28/2018","5,102.13","4,958.51","5,162.18","4,929.94","505.66M","2.71%"
"10/21/2018","4,967.37","5,130.29","5,135.69","4,896.80","580.40M","-2.31%"
"10/14/2018","5,084.66","5,095.12","5,205.38","5,057.45","502.29M","-0.22%"
"10/07/2018","5,095.98","5,339.49","5,349.31","5,095.74","507.84M","-4.91%"
"09/30/2018","5,359.36","5,494.93","5,519.94","5,354.79","414.98M","-2.44%"
"09/23/2018","5,493.49","5,480.64","5,546.80","5,458.21","425.59M","-0.01%"
"09/16/2018","5,494.17","5,344.55","5,499.03","5,329.97","580.25M","2.65%"
"09/09/2018","5,352.57","5,250.76","5,366.34","5,240.04","375.40M","1.91%"
